Experiment Name,Patients used for testing,OACC,ACC_tumor,SEN_tumor,SPE_tumor,Time loading arguments (s),Time preparing train data (s),Time training CNN (s),Time preparing test data (s),Time predicting GT test image (s),Time generating classification maps (s)
exp-4-PyTorch-2D-CNN-train_CV,ID0029C02,0.900543478,0.934963768,0,0.945931085,0.0008389,5.735906918,3060.946491,0.625648242,0.218241075,0.067425261
exp-4-PyTorch-2D-CNN-train_CV,ID0025C02,0.174166667,0.21,1,0.047236181,0.000844382,9.690489541,4318.983865,0.142571723,0.048742548,0.062255357
exp-4-PyTorch-2D-CNN-train_CV,ID0018C09,0.220238095,0.28608631,0.092288243,0.563291139,0.0008779,11.24213611,4563.935589,0.337967664,0.127074812,0.065742554
exp-4-PyTorch-2D-CNN-train_CV,ID0056C02,0.438004032,0.815927419,0.933401118,0.786872878,0.000844681,5.844191422,2557.978048,2.106903369,0.401101399,0.082728585
exp-4-PyTorch-2D-CNN-train_CV,ID0051C05,0.55333698,0.583561269,0.00110011,0.929989095,0.0009158,3.074349489,1187.514017,1.196288955,0.299523163,0.176688961
exp-4-PyTorch-2D-CNN-train_CV,ID0050C05,0.388671875,0.481119792,0.084375,0.764508929,0.000867481,3.59106899,1255.598194,0.627082886,0.123948649,0.154825388
exp-4-PyTorch-2D-CNN-train_CV,ID0047C08,0.576858108,0.705236486,0.425414364,0.755732802,0.0008626,5.58791805,2475.769229,0.549298274,0.047438072,0.062488563
exp-4-PyTorch-2D-CNN-train_CV,ID0038C02,0.613935407,0.688397129,0,0.805176635,0.000858881,9.044990546,4455.874787,0.718866557,0.134505992,0.067170048
exp-4-PyTorch-2D-CNN-train_CV,ID0047C02,0.736111111,0.804563492,0,0.95524146,0.000898599,6.266416811,3122.506612,0.552720102,0.040532185,0.062996377
exp-4-PyTorch-2D-CNN-train_CV,ID0035C02,0.271279762,0.793154762,0.012265512,0.996062992,0.000849582,9.147238561,4733.540982,1.230814557,0.269129874,0.072366534
exp-4-PyTorch-2D-CNN-train_CV,ID0034C02,0.419756356,0.74496822,0.548630137,0.868739205,0.0008527,9.079504453,5136.630493,0.663765584,0.151822727,0.064961169
exp-4-PyTorch-2D-CNN-train_CV,ID0033C02,0.017282958,0.761354502,0,0.84376392,0.000865181,4.956992947,3101.019791,1.443350417,0.387894781,0.082425854
exp-4-PyTorch-2D-CNN-train_CV,ID0030C02,0.591896186,0.682865466,0.606215722,0.726385717,0.0008391,2.428427969,2142.444251,1.361114178,0.303592283,0.084541768
,,,,,,,,,,,
,Mean,0.454006232,0.653246047,0.284899247,0.768379388,0.000862753,6.591510139,3239.441719,0.88895327,0.196426735,0.08512434
,Std,0.233913272,0.203616264,0.359627684,0.236301246,2.23E-05,2.685471101,1261.647025,0.52121547,0.121092616,0.035476184
,Std error,0.064875869,0.056472991,0.099742773,0.065538174,6.17E-06,0.744815673,349.917926,0.144559162,0.033585049,0.009839323
