Experiment Name,Patients used for testing,OACC,ACC_tumor,SEN_tumor,SPE_tumor,Time loading arguments (s),Time preparing train data (s),Time training CNN (s),Time preparing test data (s),Time predicting GT test image (s),Time generating classification maps (s)
exp-4-PyTorch-2D-CNN-train_noCV,ID0029C02,0.915942029,0.936775362,0,0.94776393,0.000853399,5.778471462,199.8566116,0.66295538,0.231073454,0.067654657
exp-4-PyTorch-2D-CNN-train_noCV,ID0025C02,0.171666667,0.174166667,1,0.004020101,0.000835882,9.714568097,283.5291362,0.151063916,0.050207408,0.059438008
exp-4-PyTorch-2D-CNN-train_noCV,ID0018C09,0.370535714,0.435639881,0.229456384,0.730560579,0.0008975,11.38761035,287.3875997,0.352913978,0.109053932,0.061508861
exp-4-PyTorch-2D-CNN-train_noCV,ID0051C05,0.535694748,0.574671772,0.010634397,0.910141767,0.0008823,3.099574401,75.21536938,1.224017645,0.284973825,0.069971257
exp-4-PyTorch-2D-CNN-train_noCV,ID0056C02,0.73578629,0.80766129,0.937468226,0.775556394,0.000850482,5.880998078,160.2120503,2.108740824,0.41140125,0.081278731
exp-4-PyTorch-2D-CNN-train_noCV,ID0050C05,0.431315104,0.518229167,0.0296875,0.8671875,0.000816,3.584453635,81.12341407,0.654394201,0.122457725,0.062308062
exp-4-PyTorch-2D-CNN-train_noCV,ID0047C08,0.746621622,0.845439189,0,0.998005982,0.000853081,5.662550894,151.4990296,0.565490387,0.049041333,0.067940221
exp-4-PyTorch-2D-CNN-train_noCV,ID0047C02,0.614087302,0.681547619,0.213836478,0.769140165,0.001185299,6.3713643,198.5892528,0.552262669,0.042215174,0.062143163
exp-4-PyTorch-2D-CNN-train_noCV,ID0038C02,0.621411483,0.697966507,0,0.81636936,0.000825682,9.20049622,289.3570586,0.740010267,0.139523458,0.068862899
exp-4-PyTorch-2D-CNN-train_noCV,ID0035C02,0.310267857,0.811309524,0.087301587,0.99943757,0.001011277,9.10280551,293.7391467,1.299021672,0.279837276,0.075250153
exp-4-PyTorch-2D-CNN-train_noCV,ID0034C02,0.472457627,0.829713983,0.669863014,0.930483592,0.000841182,9.22331066,315.9724536,0.709593253,0.155675467,0.081110512
exp-4-PyTorch-2D-CNN-train_noCV,ID0033C02,0.059184084,0.711615756,0,0.788641425,0.000846482,4.893367037,195.2538076,1.445159995,0.417146347,0.079312222
exp-4-PyTorch-2D-CNN-train_noCV,ID0030C02,0.668961864,0.747086864,0.837294333,0.695868798,0.000887581,2.510042726,136.6839131,1.351146728,0.305468605,0.072980124
,,,,,,,,,,,
,Mean,0.511840953,0.67475566,0.30888784,0.787167474,0.000891242,6.646893336,205.2629879,0.908982378,0.199851943,0.069981452
,Std,0.232963894,0.197594866,0.381824077,0.245504567,9.73E-05,2.711958406,79.49198263,0.518602718,0.126355703,0.007282221
,Std error,0.064612559,0.054802956,0.105898945,0.068090716,2.70E-05,0.75216193,22.04710918,0.143834515,0.035044767,0.002019725
